country,year,income,life_expectancy,population,four_regions,eight_regions,six_regions
Afghanistan,2018,1870,58.7,36400000,asia,asia_west,south_asia
Albania,2018,12400,78,2930000,europe,europe_east,europe_central_asia
Algeria,2018,13700,77.9,42000000,africa,africa_north,middle_east_north_africa
Andorra,2018,51500,NA,77000,europe,europe_west,europe_central_asia
Angola,2018,5850,65.2,30800000,africa,africa_sub_saharan,sub_saharan_africa
Antigua and Barbuda,2018,21000,77.6,103000,americas,america_north,america
Argentina,2018,18900,77,44700000,americas,america_south,america
Armenia,2018,8660,76,2930000,europe,europe_east,europe_central_asia
Australia,2018,45800,82.9,24800000,asia,east_asia_pacific,east_asia_pacific
Austria,2018,44600,81.8,8750000,europe,europe_west,europe_central_asia
Azerbaijan,2018,16600,72.3,9920000,europe,europe_east,europe_central_asia
Bahamas,2018,21900,74.1,399000,americas,america_north,america
Bahrain,2018,44300,77.2,1570000,asia,asia_west,middle_east_north_africa
Bangladesh,2018,3720,73.4,166000000,asia,asia_west,south_asia
Barbados,2018,16000,76.8,286000,americas,america_north,america
Belarus,2018,17200,73.8,9450000,europe,europe_east,europe_central_asia
Belgium,2018,42800,81.2,11500000,europe,europe_west,europe_central_asia
Belize,2018,7710,72.5,382000,americas,america_north,america
Benin,2018,2170,65,11500000,africa,africa_sub_saharan,sub_saharan_africa
Bhutan,2018,9930,74.8,817000,asia,asia_west,south_asia
Bolivia,2018,6980,74,11200000,americas,america_south,america
Bosnia and Herzegovina,2018,12100,77.9,3500000,europe,europe_east,europe_central_asia
Botswana,2018,16500,66.9,2330000,africa,africa_sub_saharan,sub_saharan_africa
Brazil,2018,14300,75.7,211000000,americas,america_south,america
Brunei,2018,76900,77.4,434000,asia,east_asia_pacific,east_asia_pacific
Bulgaria,2018,18900,75.3,7040000,europe,europe_east,europe_central_asia
Burkina Faso,2018,1710,61.6,19800000,africa,africa_sub_saharan,sub_saharan_africa
Burundi,2018,691,61.1,11200000,africa,africa_sub_saharan,sub_saharan_africa
Cambodia,2018,3830,69.3,16200000,asia,east_asia_pacific,east_asia_pacific
Cameroon,2018,3170,61.2,24700000,africa,africa_sub_saharan,sub_saharan_africa
Canada,2018,43800,82.2,37000000,americas,america_north,america
Cape Verde,2018,6420,74.1,553000,africa,africa_sub_saharan,sub_saharan_africa
Central African Republic,2018,689,51.6,4740000,africa,africa_sub_saharan,sub_saharan_africa
Chad,2018,1860,60.5,15400000,africa,africa_sub_saharan,sub_saharan_africa
Chile,2018,23400,80.7,18200000,americas,america_south,america
China,2018,16000,76.9,1420000000,asia,east_asia_pacific,east_asia_pacific
Colombia,2018,13700,78.6,49500000,americas,america_south,america
Comoros,2018,1440,68,832000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Dem. Rep.",2018,751,62.4,84000000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Rep.",2018,5620,63.9,5400000,africa,africa_sub_saharan,sub_saharan_africa
Costa Rica,2018,16200,81.4,4950000,americas,america_north,america
Cote d'Ivoire,2018,3760,61.2,24900000,africa,africa_sub_saharan,sub_saharan_africa
Croatia,2018,22600,77.7,4160000,europe,europe_east,europe_central_asia
Cuba,2018,20000,79.3,11500000,americas,america_north,america
Cyprus,2018,32200,80.8,1190000,europe,europe_west,europe_central_asia
Czech Republic,2018,32300,79.4,10600000,europe,europe_east,europe_central_asia
Denmark,2018,46600,81.1,5750000,europe,europe_west,europe_central_asia
Djibouti,2018,3540,67.1,971000,africa,africa_north,middle_east_north_africa
Dominica,2018,10600,NA,74300,americas,america_north,america
Dominican Republic,2018,15200,76.1,10900000,americas,america_north,america
Ecuador,2018,10200,78.3,16900000,americas,america_south,america
Egypt,2018,10800,72.6,99400000,africa,africa_north,middle_east_north_africa
El Salvador,2018,8290,75.8,6410000,americas,america_north,america
Equatorial Guinea,2018,20500,66.1,1310000,africa,africa_sub_saharan,sub_saharan_africa
Eritrea,2018,1250,64.6,5190000,africa,africa_sub_saharan,sub_saharan_africa
Estonia,2018,29500,77.7,1310000,europe,europe_east,europe_central_asia
Ethiopia,2018,1800,66.4,108000000,africa,africa_sub_saharan,sub_saharan_africa
Fiji,2018,9420,65.8,912000,asia,east_asia_pacific,east_asia_pacific
Finland,2018,40300,82.1,5540000,europe,europe_east,europe_central_asia
France,2018,39000,82.6,65200000,europe,europe_west,europe_central_asia
Gabon,2018,17500,67.3,2070000,africa,africa_sub_saharan,sub_saharan_africa
Gambia,2018,1570,67.8,2160000,africa,africa_sub_saharan,sub_saharan_africa
Georgia,2018,10100,74.3,3910000,europe,europe_east,europe_central_asia
Germany,2018,45200,81.3,82300000,europe,europe_west,europe_central_asia
Ghana,2018,4380,66.6,29500000,africa,africa_sub_saharan,sub_saharan_africa
Greece,2018,25500,81.3,11100000,europe,europe_west,europe_central_asia
Grenada,2018,13500,71.9,108000,americas,america_north,america
Guatemala,2018,7530,73.2,17200000,americas,america_north,america
Guinea,2018,1280,61.9,13100000,africa,africa_sub_saharan,sub_saharan_africa
Guinea-Bissau,2018,1550,59.7,1910000,africa,africa_sub_saharan,sub_saharan_africa
Guyana,2018,7740,68.2,782000,americas,america_south,america
Haiti,2018,1710,64.5,11100000,americas,america_north,america
Honduras,2018,4590,73.1,9420000,americas,america_north,america
Hungary,2018,26900,75.9,9690000,europe,europe_east,europe_central_asia
Iceland,2018,47400,82.6,338000,europe,europe_west,europe_central_asia
India,2018,6890,69.1,1350000000,asia,asia_west,south_asia
Indonesia,2018,11700,72,267000000,asia,east_asia_pacific,east_asia_pacific
Iran,2018,17400,76.5,82000000,asia,asia_west,middle_east_north_africa
Iraq,2018,15900,68,39300000,asia,asia_west,middle_east_north_africa
Ireland,2018,65600,81.5,4800000,europe,europe_west,europe_central_asia
Israel,2018,33400,82.4,8450000,asia,asia_west,middle_east_north_africa
Italy,2018,35200,82.6,59300000,europe,europe_west,europe_central_asia
Jamaica,2018,8520,75.2,2900000,americas,america_north,america
Japan,2018,39100,84.2,127000000,asia,east_asia_pacific,east_asia_pacific
Jordan,2018,8450,76.7,9900000,asia,asia_west,middle_east_north_africa
Kazakhstan,2018,24200,72,18400000,asia,asia_west,europe_central_asia
Kenya,2018,3110,67.3,51000000,africa,africa_sub_saharan,sub_saharan_africa
Kiribati,2018,1890,62.2,118000,asia,east_asia_pacific,east_asia_pacific
Kuwait,2018,68400,80,4200000,asia,asia_west,middle_east_north_africa
Kyrgyz Republic,2018,3490,71.5,6130000,asia,asia_west,europe_central_asia
Lao,2018,6310,67.9,6960000,asia,east_asia_pacific,east_asia_pacific
Latvia,2018,25500,75.1,1930000,europe,europe_east,europe_central_asia
Lebanon,2018,13400,80.5,6090000,asia,asia_west,middle_east_north_africa
Lesotho,2018,2960,51.1,2260000,africa,africa_sub_saharan,sub_saharan_africa
Liberia,2018,801,65.4,4850000,africa,africa_sub_saharan,sub_saharan_africa
Libya,2018,18300,75.5,6470000,africa,africa_north,middle_east_north_africa
Lithuania,2018,30400,75.3,2880000,europe,europe_east,europe_central_asia
Luxembourg,2018,99000,82.4,590000,europe,europe_west,europe_central_asia
"Macedonia, FYR",2018,14000,75.2,2090000,europe,europe_east,europe_central_asia
Madagascar,2018,1460,63.4,26300000,africa,africa_sub_saharan,sub_saharan_africa
Malawi,2018,1130,61,19200000,africa,africa_sub_saharan,sub_saharan_africa
Malaysia,2018,27200,75.9,32000000,asia,east_asia_pacific,east_asia_pacific
Maldives,2018,13000,80.1,444000,asia,asia_west,south_asia
Mali,2018,2020,62.9,19100000,africa,africa_sub_saharan,sub_saharan_africa
Malta,2018,37900,81.8,432000,europe,europe_west,europe_central_asia
Marshall Islands,2018,3780,NA,53200,asia,east_asia_pacific,east_asia_pacific
Mauritania,2018,3670,70.6,4540000,africa,africa_sub_saharan,sub_saharan_africa
Mauritius,2018,21000,74.9,1270000,africa,africa_sub_saharan,sub_saharan_africa
Mexico,2018,17300,76.8,131000000,americas,america_north,america
"Micronesia, Fed. Sts.",2018,3410,65.8,106000,asia,east_asia_pacific,east_asia_pacific
Moldova,2018,5330,72.4,4040000,europe,europe_east,europe_central_asia
Monaco,2018,60700,NA,38900,europe,europe_west,europe_central_asia
Mongolia,2018,12100,68.7,3120000,asia,east_asia_pacific,east_asia_pacific
Montenegro,2018,16600,77.3,629000,europe,europe_east,europe_central_asia
Morocco,2018,7720,75.5,36200000,africa,africa_north,middle_east_north_africa
Mozambique,2018,1200,61.1,30500000,africa,africa_sub_saharan,sub_saharan_africa
Myanmar,2018,6100,70.3,53900000,asia,east_asia_pacific,east_asia_pacific
Namibia,2018,10500,65.7,2590000,africa,africa_sub_saharan,sub_saharan_africa
Nauru,2018,12600,NA,11300,asia,east_asia_pacific,east_asia_pacific
Nepal,2018,2420,71.5,29600000,asia,asia_west,south_asia
Netherlands,2018,48500,81.9,17100000,europe,europe_west,europe_central_asia
New Zealand,2018,36400,81.8,4750000,asia,east_asia_pacific,east_asia_pacific
Nicaragua,2018,5470,78.7,6280000,americas,america_north,america
Niger,2018,949,62.5,22300000,africa,africa_sub_saharan,sub_saharan_africa
Nigeria,2018,5570,66.1,196000000,africa,africa_sub_saharan,sub_saharan_africa
North Korea,2018,1390,71.1,25600000,asia,east_asia_pacific,east_asia_pacific
Norway,2018,64800,82.4,5350000,europe,europe_west,europe_central_asia
Oman,2018,38900,78.1,4830000,asia,asia_west,middle_east_north_africa
Pakistan,2018,5220,68,201000000,asia,asia_west,south_asia
Palau,2018,15300,NA,22000,asia,east_asia_pacific,east_asia_pacific
Palestine,2018,2700,72.2,5050000,asia,asia_west,middle_east_north_africa
Panama,2018,23400,79.4,4160000,americas,america_north,america
Papua New Guinea,2018,2800,61.1,8420000,asia,east_asia_pacific,east_asia_pacific
Paraguay,2018,9280,74.8,6900000,americas,america_south,america
Peru,2018,12700,80.2,32600000,americas,america_south,america
Philippines,2018,7960,70.5,107000000,asia,east_asia_pacific,east_asia_pacific
Poland,2018,27700,78.2,38100000,europe,europe_west,europe_central_asia
Portugal,2018,27900,81.3,10300000,europe,europe_west,europe_central_asia
Qatar,2018,121000,80.7,2690000,asia,asia_west,middle_east_north_africa
Romania,2018,23400,75.5,19600000,europe,europe_east,europe_central_asia
Russia,2018,24800,71.1,144000000,europe,europe_east,europe_central_asia
Rwanda,2018,1930,68.3,12500000,africa,africa_sub_saharan,sub_saharan_africa
Samoa,2018,5950,72.4,198000,asia,east_asia_pacific,east_asia_pacific
San Marino,2018,39800,NA,33600,europe,europe_west,europe_central_asia
Sao Tome and Principe,2018,3190,70.9,209000,africa,africa_sub_saharan,sub_saharan_africa
Saudi Arabia,2018,50100,77.6,33600000,asia,asia_west,middle_east_north_africa
Senegal,2018,2570,66.8,16300000,africa,africa_sub_saharan,sub_saharan_africa
Serbia,2018,14800,76.2,8760000,europe,europe_east,europe_central_asia
Seychelles,2018,27500,74.2,95200,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,2018,1490,60,7720000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,2018,83900,84,5790000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,2018,31400,77.2,5450000,europe,europe_east,europe_central_asia
Slovenia,2018,30900,81.1,2080000,europe,europe_east,europe_central_asia
Solomon Islands,2018,2110,63.6,623000,asia,east_asia_pacific,east_asia_pacific
Somalia,2018,629,58,15200000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,2018,12300,63.5,57400000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,2018,36800,81.3,51200000,asia,east_asia_pacific,east_asia_pacific
South Sudan,2018,1820,60.7,12900000,africa,africa_sub_saharan,sub_saharan_africa
Spain,2018,34700,83.2,46400000,europe,europe_west,europe_central_asia
Sri Lanka,2018,12400,77.8,21000000,asia,asia_west,south_asia
St. Kitts and Nevis,2018,25700,NA,55900,americas,america_north,america
St. Lucia,2018,10900,76.6,180000,americas,america_north,america
St. Vincent and the Grenadines,2018,11400,72,110000,americas,america_north,america
Sudan,2018,4440,68.8,41500000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,2018,13200,71.6,568000,americas,america_south,america
Swaziland,2018,7600,58.6,1390000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,2018,47500,82.4,9980000,europe,europe_west,europe_central_asia
Switzerland,2018,57100,83.5,8540000,europe,europe_west,europe_central_asia
Syria,2018,2900,69.8,18300000,asia,asia_west,middle_east_north_africa
Tajikistan,2018,2920,72.2,9110000,asia,asia_west,europe_central_asia
Tanzania,2018,2780,65.5,59100000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,2018,16900,78.2,69200000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,2018,1490,73.3,1320000,asia,east_asia_pacific,east_asia_pacific
Togo,2018,1480,63.1,7990000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,2018,5500,70.7,109000,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,2018,30300,73.4,1370000,americas,america_north,america
Tunisia,2018,11600,78,11700000,africa,africa_north,middle_east_north_africa
Turkey,2018,24900,79.6,81900000,europe,europe_east,europe_central_asia
Turkmenistan,2018,17900,70.5,5850000,asia,asia_west,europe_central_asia
Tuvalu,2018,3490,NA,11300,asia,east_asia_pacific,east_asia_pacific
Uganda,2018,1820,62.9,44300000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,2018,8330,72.3,44000000,europe,europe_east,europe_central_asia
United Arab Emirates,2018,68200,76.9,9540000,asia,asia_west,middle_east_north_africa
United Kingdom,2018,40100,81.2,66600000,europe,europe_west,europe_central_asia
United States,2018,54900,79.1,327000000,americas,america_north,america
Uruguay,2018,21300,77.6,3470000,americas,america_south,america
Uzbekistan,2018,6690,70.5,32400000,asia,asia_west,europe_central_asia
Vanuatu,2018,2900,64.3,282000,asia,east_asia_pacific,east_asia_pacific
Venezuela,2018,14200,75.9,32400000,americas,america_south,america
Vietnam,2018,6550,74.9,96500000,asia,east_asia_pacific,east_asia_pacific
Yemen,2018,2430,67.1,28900000,asia,asia_west,middle_east_north_africa
Zambia,2018,3870,59.5,17600000,africa,africa_sub_saharan,sub_saharan_africa
Zimbabwe,2018,1950,60.2,16900000,africa,africa_sub_saharan,sub_saharan_africa
